ID,SERVICE,FROM,AUTHOR,DESCRIPTION,DATE ENCODED,DATE ACCOMPLISHED,STATUS,ATTENDED BY,DELSTAT
1,PHNCALL,rpo,jeo,olsis,09-24-2016 05:09PM,02-22-2018 02:39PM,done,,0
2,PHNCALL,pldt,jeo,pldt,09-24-2016 05:10PM,09-24-2016 05:10PM,done,SIR DING,0
3,PHNCALL,finance,jeo,slow internet conn. at finance,09-25-2016 08:34AM,01-31-2017 08:27AM,done,3,0
4,NTWRK,gs faculty,haide,check acd wifi @ gs faculty,09-25-2016 09:48AM,09-26-2016 05:19PM,done,haidz,0
5,NTWRK,hs faculty,m,check acd wifi,09-25-2016 10:28AM,09-26-2016 05:19PM,done,haidz,0
6,SYSTMUNIT,bookkeeper,fernandez,cheackup & repair,09-25-2016 11:47AM,09-25-2016 11:48AM,done,haids,0
7,PHNCALL,college department,fernandez,to sir carlos,09-26-2016 09:38AM,09-26-2016 09:38AM,done,Sir.Carlos,0
8,NTWRK,high school faculty,fernandez,inter net connection,09-26-2016 09:52AM,09-26-2016 05:19PM,done,haidz,0
9,PHNCALL,atvi,fernandez,to sir. bryan,09-26-2016 10:00AM,09-26-2016 10:00AM,done,Sir.bryan,0
10,PHNCALL,supply center,fernandez,kasperskey,09-27-2016 08:30AM,09-27-2016 08:30AM,done,fernandez,0
12,SYSTMUNIT,convent,fernandez,repair,09-27-2016 08:49AM,09-27-2016 08:50AM,done,fernandez,0
13,PHNCALL,pre.student,beltran,tellephone,09-27-2016 01:11PM,09-27-2016 01:13PM,done,sir. haids,0
14,SYSTMUNIT,jhs/shs lib.,jeo,check up/repair computer sets,09-27-2016 02:07PM,01-31-2017 08:27AM,done,3,0
15,RSRVTION,college department,fernandez,h.s lab 1:6:00-8:00 pm,09-27-2016 07:01PM,01-31-2017 08:27AM,done,3,0
16,SYSTMUNIT,shep,fernandez,mother board,09-28-2016 09:52AM,01-31-2017 08:27AM,done,3,0
17,PHNCALL,h.r.d,fernandez,to sir.rey,10-01-2016 02:14PM,10-01-2016 02:14PM,done,Sir.Rey,0
18,PHNCALL,finance,haide,looking for sir carlos,10-02-2016 08:47AM,10-02-2016 08:48AM,done,carlos,0
19,SYSTMUNIT,h.s lib.,fernandez,deepdreeze off,10-04-2016 01:55PM,10-04-2016 01:55PM,done,fernandez and O.G.T,0
20,RSRVTION,s.h.s faculty,rods,"inter.lab:oct.1,2016 at 3:00-5:00 pm",10-05-2016 07:25AM,01-31-2017 08:26AM,done,vic,0
21,RSRVTION,app2 enterpreneurship subject,rods,"internet.lab:oct.1,2016 10:00-12:00 nn",10-05-2016 07:29AM,01-31-2017 08:26AM,done,3,0
22,RSRVTION,for senior high eve.class,rods,"computer-lab.:oct.1,/1:00-3:00pm",10-05-2016 07:31AM,10-25-2016 08:45AM,done,3e,0
